street,crimes during out,crimes in buffer,rate,long,lat
1014 N AVERS AVE,0,4,0.0,-87.72253829646016,41.89931011759236
1014 N MAYFIELD AVE,0,2,0.0,-87.77282467934833,41.898645866282415
10143 S GREEN ST,0,1,0.0,-87.64411320206389,41.709751715879996
10144 S EMERALD AVE,0,1,0.0,-87.6416956384124,41.709769345086976
10144 S GREEN ST,0,1,0.0,-87.64411266602656,41.709733325691936
10145 S EMERALD AVE,0,1,0.0,-87.6416951030642,41.70975095489293
1015 N LAVERGNE AVE,0,2,0.0,-87.7507996441461,41.89904879439839
10157 S ST LAWRENCE AVE,1,2,0.5,-87.60896022258865,41.70976908458247
10157 S UNION AVE,0,3,0.0,-87.64047607964972,41.709547246242906
1017 S RACINE AVE,0,1,0.0,-87.65674897778389,41.86921729944427
1019 N HAMLIN AVE,0,7,0.0,-87.72132342832329,41.899413130063756
102 W MONROE ST,0,1,0.0,-87.6309132920847,41.880695735153004
1020 N WINCHESTER AVE,0,3,0.0,-87.67594211338613,41.899939253165286
1020 S RACINE AVE,0,1,0.0,-87.65674787677709,41.869182440985384
1020 W 20TH PL,0,3,0.0,-87.65180023315627,41.854572243561286
10200 S LA SALLE ST,0,1,0.0,-87.62716149644905,41.708945492032704
10200 S PROSPECT AVE,0,2,0.0,-87.66222147019603,41.708281224152884
10200 S ST LAWRENCE AVE,0,1,0.0,-87.60894383880492,41.70921294835448
10204 S PERRY AVE,0,2,0.0,-87.62595725389588,41.70888401468765
10205 S PROSPECT AVE,0,1,0.0,-87.66220795981279,41.70813651925649
10207 S WALDEN PKWY,0,3,0.0,-87.66895936589106,41.7079532317601
1021 W LAKE ST,0,3,0.0,-87.65292977173262,41.885569983754614
10214 S WALDEN PKWY,0,3,0.0,-87.66897105665453,41.707849289360986
10220 S MICHIGAN AVE,0,1,0.0,-87.62001952863609,41.70843347390935
10222 S LOWE AVE,0,2,0.0,-87.63922902823074,41.708386326610324
10222 S WALDEN PKWY,1,3,0.3333333333333333,-87.66898400138041,41.707730260410074
10222 S WALLACE ST,0,1,0.0,-87.63801554546032,41.70840372711457
10227 S WALLACE ST,0,1,0.0,-87.63801287991137,41.70831122724761
1023 N MARSHFIELD AVE,0,3,0.0,-87.66862630563844,41.900340414594496
10241 S LOWE AVE,0,2,0.0,-87.63921961729866,41.70803554506549
1025 N LUIS MUNOZ MARIN DR,0,1,0.0,-87.70623727605549,41.900140583934785
10258 S AVENUE H,0,1,0.0,-87.53286745223137,41.70897709537757
1027 W 34TH PL,0,2,0.0,-87.65165043901196,41.83159845247216
1028 N AVERS AVE,0,4,0.0,-87.7225464874901,41.8995683940877
1028 N WINCHESTER AVE,0,3,0.0,-87.6759464816114,41.90008636924414
1029 N MARSHFIELD AVE,0,3,0.0,-87.6686325592198,41.900510529510214
1029 N MAYFIELD AVE,0,3,0.0,-87.77283438143179,41.89892253327432
1029 N RIDGEWAY AVE,1,7,0.14285714285714285,-87.72011113779058,41.899608306717354
10300 S CHARLES ST,0,2,0.0,-87.65864104881464,41.70674794457915
10300 S COTTAGE GROVE AVE,0,3,0.0,-87.60651750491489,41.70743344607251
10300 S MICHIGAN AVE,0,3,0.0,-87.62020895595619,41.70721489587286
10300 S NORMAL AVE,0,2,0.0,-87.63555669696169,41.707010966153824
10300 S PROSPECT AVE,0,1,0.0,-87.66208354215473,41.706701079252
10300 S RACINE AVE,0,1,0.0,-87.65255777198463,41.706827806600316
10300 S STATE ST,0,7,0.0,-87.62352262911918,41.707164711526715
10300 S TORRENCE AVE,0,2,0.0,-87.55966236788124,41.70816769381181
10300 S WALLACE ST,0,2,0.0,-87.63797706042563,41.706980056806884
10301 S CHARLES ST,0,2,0.0,-87.65862853887755,41.70671850683435
10301 S DOTY AVE,0,3,0.0,-87.58072275288937,41.70782185256029
10301 S PEORIA ST,0,2,0.0,-87.64526379452305,41.7068758017789
10308 S CORLISS AVE,0,2,0.0,-87.60400780306904,41.70724418689881
1031 N MARSHFIELD AVE,0,3,0.0,-87.66863490855043,41.90056734878864
1031 W 103RD ST,0,10,0.0,-87.64891511577184,41.70686179114761
10312 S PEORIA ST,0,2,0.0,-87.64525752846156,41.706673507447185
10317 S MUSKEGON AVE,0,1,0.0,-87.55500075667378,41.70787479036171
10318 S WESTERN AVE,0,1,0.0,-87.68161016238147,41.70604502607017
1032 W 19TH PL,0,3,0.0,-87.65352336530215,41.855938639834704
10320 S COTTAGE GROVE AVE,0,3,0.0,-87.60664393183139,41.70685574218992
